Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
GC Smith,,197.0,194.0,10.0,6989.0,141.0,37.98,8648.0,80.81,10.0,47.0,8.0,,,,,,,0.0,,,,,,,
GD McGrath,,,,,,,,,,0.0,0.0,0.0,,,250.0,248.0,12970.0,8391.0,381.0,,22.02,3.88,34.0,9.0,7.0,
GF Lawson,,,,,,,,,,0.0,0.0,0.0,,,79.0,79.0,4259.0,2592.0,88.0,,29.45,3.65,48.3,1.0,0.0,
GH Dockrell,,,,,,,,,,0.0,0.0,0.0,,,133.0,110.0,4871.0,3984.0,111.0,,35.89,4.9,43.8,4.0,0.0,
GJ Bailey,,90.0,85.0,10.0,3044.0,156.0,40.58,3645.0,83.51,3.0,22.0,3.0,,,,,,,0.0,,,,,,,
GJ Maxwell,,149.0,136.0,18.0,3990.0,,33.81,3149.0,126.7,4.0,23.0,12.0,,,149.0,119.0,4002.0,3644.0,77.0,,47.32,5.46,51.9,4.0,0.0,
GJ Whittall,,147.0,142.0,22.0,2705.0,83.0,22.54,4011.0,67.43,0.0,11.0,12.0,,,147.0,112.0,4060.0,3481.0,88.0,,39.55,5.14,46.1,1.0,0.0,
GM Wood,,83.0,77.0,11.0,2219.0,,33.62,3725.0,59.57,3.0,11.0,4.0,,,,,,,0.0,,,,,,,
GP Swann,,,,,,,,,,0.0,0.0,0.0,,,79.0,76.0,3809.0,2888.0,104.0,,27.76,4.54,36.6,3.0,1.0,
GP Thorpe,,82.0,77.0,13.0,2380.0,89.0,37.18,3344.0,71.17,0.0,21.0,3.0,,,,,,,0.0,,,,,,,
GP Wickramasinghe,,,,,,,,,,0.0,0.0,0.0,,,134.0,132.0,5720.0,4321.0,109.0,,39.64,4.53,52.4,1.0,0.0,
GR Larsen,,,,,,,,,,0.0,0.0,0.0,,,121.0,119.0,6368.0,4000.0,113.0,,35.39,3.76,56.3,1.0,0.0,
GR Marsh,,117.0,115.0,6.0,4357.0,,39.97,7790.0,55.93,9.0,22.0,4.0,,,,,,,0.0,,,,,,,
GS Chappell,,74.0,72.0,14.0,2331.0,,40.18,3079.0,75.7,3.0,14.0,7.0,,,,,,,0.0,,,,,,,
GW Flower,,221.0,214.0,18.0,6571.0,,33.52,9723.0,67.58,6.0,40.0,18.0,,,221.0,156.0,5462.0,4225.0,104.0,,40.62,4.64,52.5,2.0,0.0,
H Klaasen,,60.0,56.0,7.0,2141.0,174.0,43.69,1829.0,117.05,4.0,11.0,2.0,,,,,,,0.0,,,,,,,
H Masakadza,,209.0,208.0,4.0,5658.0,,27.73,7728.0,73.21,5.0,34.0,15.0,,,,,,,0.0,,,,,,,
HDPK Dharmasena,,,,,,,,,,0.0,0.0,0.0,,,141.0,134.0,7009.0,4998.0,138.0,,36.21,4.27,50.7,1.0,0.0,
HDRL Thirimanne,,127.0,106.0,14.0,3194.0,,34.71,4419.0,72.27,4.0,21.0,7.0,,,,,,,0.0,,,,,,,
HE van der Dussen,,71.0,65.0,12.0,2657.0,134.0,50.13,3053.0,87.02,6.0,17.0,3.0,,,,,,,0.0,,,,,,,
HG Munsey,,77.0,75.0,10.0,2777.0,191.0,42.72,3080.0,90.16,3.0,19.0,5.0,,,,,,,0.0,,,,,,,
HH Dippenaar,,107.0,95.0,14.0,3421.0,,42.23,5047.0,67.78,4.0,26.0,4.0,,,,,,,0.0,,,,,,,
HH Gibbs,,248.0,240.0,16.0,8094.0,175.0,36.13,9721.0,83.26,21.0,37.0,22.0,,,,,,,0.0,,,,,,,
HH Pandya,,,,,,,,,,0.0,0.0,0.0,,,94.0,88.0,3460.0,3231.0,91.0,,35.5,5.6,38.0,1.0,0.0,
HH Streak,,189.0,159.0,55.0,2943.0,,28.29,4008.0,73.42,0.0,13.0,6.0,,,189.0,185.0,9468.0,7129.0,239.0,,29.82,4.51,39.6,7.0,1.0,
HM Amla,,181.0,178.0,14.0,8113.0,159.0,49.46,9178.0,88.39,27.0,39.0,4.0,,,,,,,0.0,,,,,,,
HM Nicholls,,92.0,90.0,16.0,2415.0,,32.63,3065.0,78.79,1.0,17.0,8.0,,,,,,,0.0,,,,,,,
HP Tillakaratne,,200.0,168.0,40.0,3789.0,104.0,29.6,6588.0,57.51,2.0,13.0,10.0,,,,,,,0.0,,,,,,,
Habibul Bashar,,111.0,105.0,5.0,2168.0,78.0,21.68,3586.0,60.45,0.0,14.0,18.0,,,,,,,0.0,,,,,,,
Harbhajan Singh,,,,,,,,,,0.0,0.0,0.0,,,236.0,227.0,12479.0,8973.0,269.0,,33.35,4.31,46.3,2.0,3.0,
Haris Rauf,,,,,,,,,,0.0,0.0,0.0,,,59.0,59.0,2850.0,2750.0,107.0,,25.7,5.78,26.6,5.0,2.0,
